,album_id,album_name,artist_id,artist_name,duration_ms,explicit,popularity,release_date,song_name,acousticness,danceability,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,album_popularity,record_label,artist_followers,artist_genres,artist_popularity
6UUL6mVus7dn7sw5O6Zd7p,1xroovsaQjS7u5DmTvd0VT,Faith You Might / In Case I Don't Feel,56tbeL5xhBPxby544GuK3E,Kevin Garrett,252186,False,49,2019-02-01,Faith You Might,0.728,0.517,0.458,0.261,2,0.0925,-12.209,1,0.0576,149.756,4,0.612,46,"KG Music, LLC",89152,"['electropop', 'indie_cafe_pop', 'indie_r&b', 'pittsburgh_indie', 'pop']",59
75ZKw8JLaFsYr51J44fQ4N,2e05jEqzsX5SeYkGQQxkFf,drive all night,3HXLY1sNXIxHfulrjPiRf5,joan,178480,False,53,2019-02-01,drive all night,0.000184,0.542,0.758,5.63e-06,9,0.144,-5.032,1,0.0313,156.128,4,0.43,50,snafu records,22191,"['electropop', 'indie_poptimism']",53
4AYTCusq44mkt5Vzbm1YBO,3lsv1KP0pNAdNqXRenFQVu,HONEST ENOUGH,6iWuBN32BqCJAeXW6o3nil,Cautious Clay,176387,True,56,2019-01-30,HONEST ENOUGH,0.746,0.591,0.418,0.00207,9,0.334,-7.88,1,0.0306,115.995,4,0.358,53,Cautious Clay,40071,"['alternative_r&b', 'electropop', 'indie_r&b']",62
1pjk1YeB0mqdBcrACV3b5C,3jPPl73kzB6RaYeoVfgMfd,Blue Wings,6NrkINd80slV25wkBu9mEB,Wild Nothing,225893,False,56,2019-01-16,Blue Wings,0.051,0.566,0.8,0.0248,7,0.0668,-6.774,1,0.0332,130.052,4,0.819,52,Captured Tracks,186191,"['alternative_dance', 'art_pop', 'chillwave', 'dream_pop', 'electropop', 'indie_pop', 'indie_psych-rock', 'indie_rock', 'indie_surf', 'indietronica', 'modern_rock', 'neo-psychedelic', 'new_rave', 'noise_pop', 'nu_gaze', 'preverb', 'shimmer_pop', 'shoegaze']",60
3FP1lXB3bid2MsaYUlRGlW,3BTugAfPvatDKdkIgJ8lSY,BATTLE STAR X PART 1,3uo0ix4Y67XHVWBhXXIY1S,Xavier Wulf,159353,True,44,2019-02-01,MOON STAR,0.174,0.727,0.572,0.393,0,0.136,-7.984,1,0.0786,160.018,4,0.643,52,The Hollow Squad,166536,"['dark_trap', 'emo_rap', 'underground_hip_hop', 'vapor_trap']",63
1gyee1JuFFiP476LQpRMYU,481JiVXZYUlTtqlv9ewJXV,Wonder What's Next,56dO9zeHKuU5Gvfc2kxHNw,Chevelle,238400,False,68,2002,The Red,0.000671,0.509,0.843,0.000803,1,0.348,-3.318,0,0.0488,140.055,3,0.332,68,Epic,795987,"['alternative_metal', 'christian_rock', 'nu_metal', 'post-grunge', 'rap_rock', 'rock']",66
7jqdD1NL36KXsbJ4XeOw3N,1UaMSNMWDczKRwKnp4QZDm,Festival,5dID7TuTjqElOjVuFYCJ9o,John Buckley,208972,False,0,2016-10-14,Festival,0.869,0.732,0.439,0,7,0.0951,-8.619,1,0.0293,90.978,4,0.523,0,Universal Music Group,4104,[],34
64Fmmpq8XD4q8KVgkEU9If,4uFxnZfiuRsIXtHCEvmBCV,Only Through Your Eyes,0I0pGHj36QgKwEck9Ijbiy,Furns,251042,False,40,2016-04-29,Your Love,0.931,0.766,0.338,0.374,1,0.0642,-16.653,1,0.0472,89.98,4,0.286,42,Gateway Music,9287,[],41
6VOhkcnfZpbPqGWGZAQdCY,7iCUeFTCiyvcTJZvMcQBsn,Final Cut,0I0pGHj36QgKwEck9Ijbiy,Furns,244000,False,34,2018-01-12,China,0.855,0.489,0.439,0.893,0,0.106,-12.968,1,0.0313,120.797,3,0.589,41,Gateway Music,9287,[],41
1DOhiRRtEVKAwTRwOl7MWB,4bV21WF0XPA2YNFzd77mnF,In My Head,6kzm1s9Z0leq5UTGwouVTA,Austin Jenckes,223523,False,52,2018-10-19,In My Head,0.403,0.584,0.488,0,8,0.131,-8.02,0,0.0263,136.96,4,0.347,49,Ole Red Dot,2454,[],49
